number,title,url,pages,summary,characters
11,The Hero of the Village,https://frieren.fandom.com/wiki/Chapter_11,20,"After Fern finds Stark, she asks why he still trains and he replies that it is because he is a hero to the villagers, so he must protect the village, although he feels like he will run away. Fern believes he will not run away and tells him that he only needs to resolve himself. The next day, Stark is able to defeat the Solar Dragon without needing Frieren and Fern's help, and he joins their party.","[{""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Frieren""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Hero of the South"", ""type"": ""Mentioned""}, {""name"": ""Granny and kids"", ""type"": ""Appears"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Husband and wife"", ""type"": ""Appears"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}]"
12,The Northern Checkpoint,https://frieren.fandom.com/wiki/Chapter_12,19,"Twenty-eight years after the Hero Himmel's passing, Frieren, Fern, and Stark are in Waal. Entry to the Northern Lands has been prohibited because monster activity is brimming, so Frieren decides they can relax in Waal for the time being. Fern discovers that they might have to stay in the city for two years, so she and Stark try to find another passage to the north, but to no avail. Stark does not want to stay too long as he wants to experience a deplorable yet fun journey and share his tales with Eisen.
Fortunately, the Castellan of Waal finds out Frieren is present, and as thanks for her prior service to the city and in consideration of the plight of the Northern Lands, allows her party to pass through the barrier. With great fanfare, the trio continue their voyage into the north.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Captain of the Guard"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Passersby"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Bartender"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Castellan of Waal"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}]"
13,Liberation Festival,https://frieren.fandom.com/wiki/Chapter_13,18,"Twenty-eight years after the Hero Himmel's passing, Frieren, Fern, and Stark are on the Eng Road. They travel with a merchant after clearing the road which had been blocked due to a landslide. When they reach the town, they find out the Liberation Festival is taking place the same night, which commemorates the day the Hero Party subjugated the demon that was oppressing the region. The townspeople celebrate by decorating the statues of the Hero Party. The merchant tells Frieren that it is on this day everyone remembers Himmel and his party, making her recall a memory of when Himmel told her he makes statues of himself and the party so that Frieren would not be alone in the future. They reach the town and see the statues decorated with flowers. The next day, the trio continues their voyage towards Heaven.","[{""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Flamme"", ""type"": ""Mentioned""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Merchant"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}]"
14,Monsters That Speak,https://frieren.fandom.com/wiki/Chapter_14,19,"Twenty-eight years after the Hero Himmel's passing, Frieren, Fern, and Stark are in Graf Granat's Domain. As the trio walks into town, Frieren senses some demons and tries to kill them, but she is stopped by the town's guards. The demons, led by Lord Lügner, are supposedly messengers of peace, but Frieren calls them incomprehensible wild beasts that mimic human voices. She is then thrown into the mansion dungeon. Fern and Stark investigate and find out Aura the Guillotine, a great demon who served the Demon King as one of the Seven Sages of Destruction, has requested peace after being long at war with the town. Frieren states that it is futile to negotiate with demons, as they only use words as a means of deception rather than communication. She decides to break out of the dungeon once the disorder starts. Meanwhile, Lügner wonders where he has seen Frieren before and smiles as she is the only one in town who knows the true nature of demons.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Graf Granat"", ""type"": ""Debut""}, {""name"": ""Lügner"", ""type"": ""Debut""}, {""name"": ""Linie"", ""type"": ""Cameo""}, {""name"": ""Draht"", ""type"": ""Cameo""}, {""name"": ""Jail cell guard"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}, {""name"": ""Aura"", ""type"": ""Imagined Debut""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Young demon girl"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Bereaved couple"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Slain village chief"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Flamme"", ""type"": ""Mentioned""}]"
15,Draht,https://frieren.fandom.com/wiki/Chapter_15,18,"Graf Granat leads Lügner to his son's room and is about to kill him as vengeance for his son. However, Granat empathizes with Lügner when he tells him that his father was also killed by humans in the ongoing human-demon conflict. Lügner reveals to Linie, the demon girl, that this is actually a lie in order to placate the Graf. He tells Linie that their true goal is to get the Graf to release the defensive barrier surrounding the town so that Aura the Guillotine's army can destroy it. Meanwhile, the demon boy, Draht, goes to the dungeon to try to assassinate Frieren. He fails, and she is able to kill him easily, remarking that this is one beast down.","[{""name"": ""Graf Granat""}, {""name"": ""Lügner""}, {""name"": ""Linie"", ""type"": ""Debut""}, {""name"": ""Draht"", ""type"": ""Debut""}, {""name"": ""Graf Granat's son"", ""type"": ""Mentioned"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""The King"", ""type"": ""Mentioned"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Aura"", ""type"": ""Imagined""}, {""name"": ""Jail cell guard"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Frieren""}]"
16,The Murder of a Guard,https://frieren.fandom.com/wiki/Chapter_16,18,"After Frieren kills Draht, she exits the dungeon and finds the guard dead. Meanwhile, Fern and Stark have lunch and decide to go appeal to Graf Granat for Frieren's release from prison so she can defeat Aura the Guillotine and her executioners. Meanwhile, Lügner finds out Draht was killed through Linie. Graf Granat confronts Lügner, and when Lügner's excuse falls apart, correctly suspects that Draht killed the guard. Now that his plan has failed, Lügner reveals his true colors and kills the guards and injures Graf Granat. He spares Granat's life so he can lift the protective barrier on the town. As Fern and Stark head to the Graf's estate, Fern spots Frieren stealthily walking while disguised. Frieren tells them what happened in the dungeon, and says that she will leave the town, leaving Fern and Stark to deal with the demons in town, despite Stark's pleas for her to help them. Frieren senses Aura in the distance and decides to quickly finish her off.","[{""name"": ""Frieren""}, {""name"": ""Draht"", ""type"": ""Mentioned""}, {""name"": ""Jail cell guard"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Eisen"", ""type"": ""Mentioned""}, {""name"": ""Lügner""}, {""name"": ""Linie""}, {""name"": ""Graf Granat""}, {""name"": ""Aura""}]"
17,Frieren the Slayer,https://frieren.fandom.com/wiki/Chapter_17,21,"After meeting with Frieren, Fern and Stark sneak into Graf Granat's mansion to rescue him. In the meantime, Lügner tries to get Graf Granat to tell him how the barrier magic works, but to no avail. He leaves the Graf to think over it carefully while trying to find a grimoire about it in his mansion. Stark enters the room and tries to free him, but Lügner and Linie return. Stark attacks Lügner but is unable to kill him. However, he gives an opening to Fern who was outside the window to shoot Lügner with magic. Stark and Fern escape with Graf Granat, and Lügner decides they will go after them as soon as he heals. Meanwhile, Frieren descends upon Aura's army.","[{""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Lügner""}, {""name"": ""Qual"", ""type"": ""Imagined""}, {""name"": ""Graf Granat""}, {""name"": ""Linie""}, {""name"": ""Flamme"", ""type"": ""Mentioned""}, {""name"": ""Graf Granat's son"", ""type"": ""Mentioned"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Frieren""}, {""name"": ""Aura""}]"
18,The Undead Army,https://frieren.fandom.com/wiki/Chapter_18,18,"After taking Graf Granat to safety, Stark and Fern tell the Graf that Frieren is innocent. The Graf agrees, telling them she and the Hero Party had protected the town from Aura before. Meanwhile, Frieren confronts Aura who surrounds her with her undead army. Granat reveals that Aura fights with a magic tool known as the Scales of Obedience which weighs Aura's mana against her opponent's. The one with greater mana is then given control over the other and cannot be fully resisted. In her five hundred years serving as one of the Seven Sages of Destruction, not once has Aura lost in a battle of mana. Frieren starts battling Aura's army using an anti-magic, as Himmel scolded her any in the past for blasting the army away. Aura asks why she would do so since Himmel is gone, which angers Frieren and results in her deciding to kill Aura without mercy.","[{""name"": ""Graf Granat""}, {""name"": ""Stark""}, {""name"": ""Fern""}, {""name"": ""Church father"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Frieren""}, {""name"": ""Aura""}, {""name"": ""Graf Granat's son"", ""type"": ""Imagined Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}]"
19,Raid,https://frieren.fandom.com/wiki/Chapter_19,18,"Stark and Fern leave Graf Granat at the church and decide to split up, Stark to find Frieren and Fern to evacuate the town's citizens. They are unexpectedly attacked by Lügner and Linie who separate them. After pinning Fern to a wall using blood magic, Lügner questions her about the whereabouts of Frieren whilst commenting that Stark will not receive a pleasant death. Meanwhile, Stark has engaged in a fight with Linie. After the initial surprise attack by Linie, Stark wonders why her technique is so similar to his Master's. While Lügner is distracted, Fern grabs her staff and breaks out of demon's hold. Lügner tells Fern that she would lose her head first if she attacked, for he has spent the greater part of his life dedicated to honing his magic. Fern remembers Frieren telling her that Fern's strength lies in her casting speed. She tells Lügner that she, too, has spent the greater part of her life dedicated to magic before blasting him with a large-scale spell.","[{""name"": ""Stark""}, {""name"": ""Fern""}, {""name"": ""Graf Granat""}, {""name"": ""Church father"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Linie""}, {""name"": ""Lügner""}, {""name"": ""Jail cell guard"", ""type"": ""Mentioned"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Aura"", ""type"": ""Mentioned""}, {""name"": ""Frieren"", ""type"": ""Flashback""}]"
20,Master's Technique,https://frieren.fandom.com/wiki/Chapter_20,18,"Fern blasts Lügner, who only survives through reflexively defending his heart. The demon then responds with an attack of his own, purporting to crush Fern with his full strength. Meanwhile, Linie states that Stark has lost, but Stark stands up to continue fighting her. Lügner begins to lose ground against Fern and urges Linie to finish her fight. The demon initially appears to overwhelm Stark, but Stark remembers his Master's words and stands up again. He tanks a hit from Linie and uses the opening to slash her across the chest. In the midst of fighting Fern, Lügner's attention is drawn away by Linie's defeat. In his moment of distraction, he is blasted through the heart by Fern.","[{""name"": ""Lügner""}, {""name"": ""Fern""}, {""name"": ""Linie""}, {""name"": ""Stark""}, {""name"": ""Frieren"", ""type"": ""Mentioned""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}]"
21,Coward,https://frieren.fandom.com/wiki/Chapter_21,18,"After being struck by Fern, Lügner lays on the verge of death. He realizes that Frieren and Fern have been limiting their mana levels, a despicable and cowardly act. Fern concurs, then finishes Lügner off. The story then flashes back to Frieren's past, where she encounters Flamme after her village was destroyed by a demon. Flamme finds Frieren on the verge of death and decides to make Frieren her apprentice. The pair are accosted by Demon in pursuit of Frieren, who judge Flamme to be weak based on her mana and call for her to leave Frieren behind if she wishes to keep her life. Flamme calls the three demons arrogant and careless, before releasing her limited mana and destroying the Demon. After Frieren heals, Flamme teaches Frieren how to limit her mana, and tells her to keep up her mana limiting for her entire life to deceive Demon. The flashback ends with Frieren facing off against Aura. Aura's mana output is visibly greater than Frieren's, and Aura questions if it was the right call for Frieren to expend so much mana.","[{""name"": ""Lügner""}, {""name"": ""Fern""}, {""name"": ""Flamme"", ""type"": ""Flashback""}, {""name"": ""Basalt"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Named Characters""}, {""name"": ""Three demons killed by Flamme"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Aura the Guillotine Arc""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}, {""name"": ""Aura""}, {""name"": ""Frieren""}]"
22,The Scales of Obedience,https://frieren.fandom.com/wiki/Chapter_22,22,"Frieren and Aura continue to face off against each other. Using her Scales of Obedience, Aura casts the Spell of Obedience: Auserlese. Frieren notes that based on her mana, Aura must have trained for most of her five hundred years of life. In a flashback, Frieren's training under Flamme's apprenticeship is shown. Flamme tells Frieren that demons cannot limit their mana because they are beholden to it as a form of status. All the while, Frieren continues to train in restricting her mana. She promises Flamme to keep a low profile until she has defeated the Demon King.
Once Flamme perishes due to old age, a series of scenes show Frieren's life, all while limiting her mana, up until she is recruited by the Hero Party and they face down the Demon King. The flashback then ends with Aura weighing Frieren's soul against her own. Initially, Aura seems assured in her victory, but slowly, the scale tips towards Frieren's side. Frieren tells Aura that she was limiting her mana and that Aura miscalculated, and when Aura reacts in disbelief, Frieren releases her full mana, which dwarf's Aura's mana. The scale tips fully to Frieren's side, and turning her back, Frieren commands Aura to kill herself, finally defeating the Sage of Destruction.","[{""name"": ""Aura""}, {""name"": ""Frieren""}, {""name"": ""Flamme"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Qual"", ""type"": ""Flashback""}, {""name"": ""Demon King"", ""type"": ""Flashback Debut""}]"
